transaction_id,product_id,location_id,transaction_type,quantity,unit_cost,transaction_date,reference_number,created_by_user
TRX-00064,ELE-SEC-2116,TOK-JAP-886,ISSUE,-9,145.14,02-Aug-25,SO-2025-6041,QA
TRX-00065,CAB-PCC-4515,SHG-CHN-77,RECEIPT,56,70.3,14-Apr-25,PO-2025-0903,QA
TRX-00066,ELE-EES-3318,MUN-GER-49,RECEIPT,100,85.75,02-Jun-25,PO-2025-2441,clerk
TRX-00067,CAB-VCS-3801,SHG-CHN-77,RECEIPT,123,325.14,14-Apr-25,PO-2025-8449,manager
TRX-00068,ELE-UEC-5782,MOS-RUS-92,ISSUE,-12,385.05,28-Mar-25,SO-2025-7426,clerk
TRX-00069,LIG-HLC-8466,LON-UK-44,RECEIPT,44,447.51,23-May-25,PO-2025-4290,admin
TRX-00070,CAB-UCRP-8556,SHG-CHN-77,RECEIPT,138,145.14,03-Apr-25,PO-2025-9519,manager
TRX-00071,ELE-HEC-2111,SYD-AUS-81,ISSUE,-39,385.05,03-Aug-25,SO-2025-4321,admin
TRX-00072,LIG-PLC-3001,CAI-EGY-15,RECEIPT,16,583.41,13-Feb-25,PO-2025-2142,clerk
TRX-00073,ELE-PERP-5958,PAR-FRA-55,ISSUE,-93,463.47,28-May-25,SO-2025-3062,QA
TRX-00074,LIG-VLR-7441,DBN-SA-70,RECEIPT,144,361.57,21-Jul-25,PO-2025-9683,clerk
TRX-00075,LIG-ELC-1668,HYD-IN-91,ISSUE,-80,83.65,17-Mar-25,SO-2025-4582,admin
TRX-00076,ELE-VECM-9767,TOR-CAN-33,ISSUE,-27,174.13,23-Mar-25,SO-2025-6788,manager
TRX-00077,LIG-SLS-6739,TOR-CAN-33,RECEIPT,68,83.65,03-Mar-25,PO-2025-9331,clerk
TRX-00078,CAB-HCRP-1461,MOS-RUS-92,ISSUE,-22,463.47,12-May-25,SO-2025-2372,manager
TRX-00079,ELE-PEH-4958,MOS-RUS-92,TRANSFER,18,145.14,27-Jul-25,TR-2025-4755,QA
TRX-00080,LIG-DLCM-4768,BNG-IN-91,TRANSFER,-25,230.61,14-Mar-25,TR-2025-9856,QA
TRX-00081,CAB-UCLL-8978,MOS-RUS-92,RECEIPT,140,37.04,07-May-25,PO-2025-7295,QA
TRX-00082,LIG-ELC-1668,MUN-GER-49,TRANSFER,30,174.13,29-Mar-25,TR-2025-5648,manager
TRX-00083,CAB-UCR-3301,SYD-AUS-81,ISSUE,-94,174.13,08-May-25,SO-2025-2654,clerk
TRX-00084,ELE-EEH-1982,LON-UK-44,ISSUE,-20,37.04,02-Mar-25,SO-2025-9556,manager
TRX-00085,CAB-PCS-5891,SYD-AUS-81,RECEIPT,133,135.45,19-May-25,PO-2025-0442,manager
TRX-00086,LIG-PLC-1639,TOK-JAP-886,TRANSFER,-34,583.41,16-Feb-25,TR-2025-1715,clerk
TRX-00087,LIG-HLS-9457,MUM-IN-91,TRANSFER,-8,135.45,26-Jun-25,TR-2025-1908,QA
TRX-00088,ELE-PER-6577,HYD-IN-91,TRANSFER,57,37.04,21-Jun-25,TR-2025-4303,QA
TRX-00089,CAB-SCS-7166,SYD-AUS-81,TRANSFER,-58,83.65,15-Jul-25,TR-2025-6382,clerk
TRX-00090,LIG-ULCM-4821,SHG-CHN-77,ISSUE,-52,385.05,25-Mar-25,SO-2025-3433,manager
TRX-00091,CAB-SCH-1731,TOK-JAP-886,TRANSFER,-54,37.04,05-Jun-25,TR-2025-1198,manager
TRX-00092,ELE-SER-3868,MUN-GER-49,RECEIPT,54,447.51,02-Jul-25,PO-2025-4740,QA
TRX-00093,LIG-ULS-5285,HYD-IN-91,RECEIPT,149,583.41,16-Jun-25,PO-2025-9439,admin
TRX-00094,ELE-SES-2322,DBN-SA-70,RECEIPT,102,85.75,13-Jun-25,PO-2025-1000,admin
TRX-00095,ELE-UEC-8979,SYD-AUS-81,RECEIPT,79,47.78,11-Mar-25,PO-2025-5478,admin
TRX-00096,LIG-VLCM-9616,TOK-JAP-886,ISSUE,-58,174.13,24-Feb-25,SO-2025-0493,manager
TRX-00097,ELE-PER-4151,SYD-AUS-81,ISSUE,-51,135.45,21-Feb-25,SO-2025-7828,manager
TRX-00098,CAB-DCH-5941,TOK-JAP-886,RECEIPT,97,230.61,09-Mar-25,PO-2025-0290,QA
TRX-00099,LIG-HLCM-9594,MUM-IN-91,TRANSFER,-19,463.47,23-Jun-25,TR-2025-6355,admin
TRX-00100,ELE-PELL-2328,CAI-EGY-15,ISSUE,-13,447.51,22-Apr-25,SO-2025-7281,QA
TRX-00101,ELE-EECM-7416,TOR-CAN-33,RECEIPT,35,174.13,19-May-25,PO-2025-9535,QA
TRX-00102,CAB-UCC-8252,MOS-RUS-92,ISSUE,-37,385.05,04-May-25,SO-2025-9967,QA
TRX-00103,CAB-PCS-2592,MUM-IN-91,TRANSFER,-53,85.75,29-May-25,TR-2025-1579,clerk
TRX-00104,ELE-UERP-5338,MUM-IN-91,ISSUE,-27,230.61,15-Mar-25,SO-2025-6490,admin
TRX-00105,ELE-UEH-9223,CAI-EGY-15,TRANSFER,63,47.78,26-Apr-25,TR-2025-6497,admin
TRX-00106,ELE-SER-1808,MOS-RUS-92,ISSUE,-72,325.14,20-Jul-25,SO-2025-4289,clerk
TRX-00107,CAB-SCLL-8561,JUA-MEX-52,TRANSFER,16,85.75,29-Apr-25,TR-2025-6486,clerk
TRX-00108,CAB-PCH-8909,PAR-FRA-55,ISSUE,-76,174.13,08-May-25,SO-2025-0753,admin
TRX-00109,LIG-ULR-2214,HYD-IN-91,TRANSFER,-66,518.05,03-Apr-25,TR-2025-0552,clerk
TRX-00110,ELE-UECM-2703,LON-UK-44,TRANSFER,70,463.47,14-Feb-25,TR-2025-6424,QA
TRX-00111,LIG-DLC-8595,LON-UK-44,RECEIPT,100,165.02,05-Jul-25,PO-2025-1948,manager
TRX-00112,ELE-PEH-2480,JUA-MEX-52,RECEIPT,29,361.57,24-Mar-25,PO-2025-4278,QA
TRX-00113,CAB-VCR-4822,SYD-AUS-81,RECEIPT,52,85.75,29-Mar-25,PO-2025-7437,admin
TRX-00114,CAB-SCH-4757,JUA-MEX-52,TRANSFER,-8,430.64,25-May-25,TR-2025-6732,clerk
TRX-00115,LIG-DLH-5797,LON-UK-44,ISSUE,-22,47.78,03-Mar-25,SO-2025-4848,manager
TRX-00116,ELE-PES-9011,JUA-MEX-52,ISSUE,-71,430.64,25-Apr-25,SO-2025-5734,admin
TRX-00117,LIG-SLS-8587,CAI-EGY-15,TRANSFER,25,70.3,23-Mar-25,TR-2025-6657,clerk
TRX-00118,CAB-PCCM-1045,JUA-MEX-52,ISSUE,-16,83.65,12-Apr-25,SO-2025-5811,manager
TRX-00119,ELE-HELL-2285,MOS-RUS-92,ISSUE,-79,518.05,01-Apr-25,SO-2025-9225,manager
TRX-00120,ELE-HES-5663,LON-UK-44,RECEIPT,107,85.75,07-Mar-25,PO-2025-6887,clerk
TRX-00121,LIG-ELRP-6944,MOS-RUS-92,RECEIPT,143,174.13,22-May-25,PO-2025-3810,manager
TRX-00122,ELE-SEC-1497,MOS-RUS-92,ISSUE,-14,361.57,08-Mar-25,SO-2025-9357,admin
TRX-00123,CAB-DCLL-1368,HYD-IN-91,ISSUE,-27,385.05,18-Jun-25,SO-2025-3535,clerk
TRX-00124,ELE-PERP-5958,TOK-JAP-886,RECEIPT,138,430.64,21-May-25,PO-2025-9417,QA
TRX-00125,LIG-ULH-8466,HYD-IN-91,TRANSFER,44,165.02,11-Mar-25,TR-2025-8229,admin
TRX-00126,LIG-VLS-5690,TOK-JAP-886,ISSUE,-9,27.58,09-Jul-25,SO-2025-8760,admin
TRX-00127,CAB-VCS-1447,SYD-AUS-81,TRANSFER,-12,230.61,18-May-25,TR-2025-4097,clerk
TRX-00128,ELE-EES-5610,DBN-SA-70,RECEIPT,150,47.78,31-Jul-25,PO-2025-1630,clerk
TRX-00129,LIG-PLC-5858,DBN-SA-70,TRANSFER,44,447.51,09-Jul-25,TR-2025-4613,manager
TRX-00130,CAB-UCR-6526,CAI-EGY-15,ISSUE,-25,151.28,04-Mar-25,SO-2025-1060,admin
TRX-00131,ELE-VEC-9758,MOS-RUS-92,RECEIPT,111,463.47,31-Mar-25,PO-2025-7819,manager
TRX-00132,CAB-UCH-4919,JUA-MEX-52,TRANSFER,-9,145.14,15-May-25,TR-2025-9134,admin
TRX-00133,CAB-ECC-4860,JUA-MEX-52,RECEIPT,143,583.41,09-Aug-25,PO-2025-5388,admin
TRX-00134,ELE-SES-2322,KAN-USA-1,TRANSFER,-56,70.3,17-Jul-25,TR-2025-7536,QA
TRX-00135,ELE-HER-3175,PAR-FRA-55,ISSUE,-50,230.61,24-Feb-25,SO-2025-8978,admin
TRX-00136,CAB-UCR-7173,MUM-IN-91,RECEIPT,63,85.75,07-Mar-25,PO-2025-5990,manager
TRX-00137,CAB-SCC-8973,SYD-AUS-81,ISSUE,-65,518.05,22-Jun-25,SO-2025-6243,manager
TRX-00138,ELE-VELL-8425,SHG-CHN-77,ISSUE,-81,70.3,22-Jul-25,SO-2025-1474,QA
TRX-00139,LIG-PLLL-3329,DBN-SA-70,ISSUE,-19,430.64,29-Apr-25,SO-2025-8022,manager
TRX-00140,CAB-VCC-2551,SHG-CHN-77,RECEIPT,96,145.14,11-Apr-25,PO-2025-0189,clerk
TRX-00141,ELE-PEH-4958,TOR-CAN-33,RECEIPT,29,583.41,01-Aug-25,PO-2025-7953,QA
TRX-00142,LIG-VLLL-7411,TOK-JAP-886,RECEIPT,117,165.02,01-Mar-25,PO-2025-4611,manager
TRX-00143,CAB-SCCM-4572,CAI-EGY-15,RECEIPT,85,83.65,30-Apr-25,PO-2025-4401,manager
TRX-00144,CAB-HCRP-6846,CAI-EGY-15,RECEIPT,83,430.64,29-Mar-25,PO-2025-5812,clerk
TRX-00145,CAB-SCS-9865,MUN-GER-49,ISSUE,-5,37.04,30-Jul-25,SO-2025-3057,QA
TRX-00146,ELE-HES-8954,JUA-MEX-52,ISSUE,-24,430.64,12-Mar-25,SO-2025-6355,clerk
TRX-00147,LIG-ELC-4458,BNG-IN-91,RECEIPT,62,518.05,06-Aug-25,PO-2025-5977,QA
TRX-00148,ELE-PES-2645,JUA-MEX-52,TRANSFER,-26,83.65,06-Jul-25,TR-2025-5809,QA
TRX-00149,ELE-UEC-5782,MOS-RUS-92,RECEIPT,124,447.51,21-Jun-25,PO-2025-0755,admin
TRX-00150,ELE-EEC-4603,KAN-USA-1,TRANSFER,16,447.51,05-Jun-25,TR-2025-6711,manager
TRX-00151,CAB-PCS-5789,TOK-JAP-886,ISSUE,-46,135.45,25-Jul-25,SO-2025-1516,manager
TRX-00152,LIG-ULRP-5976,DBN-SA-70,TRANSFER,-49,83.65,27-May-25,TR-2025-3891,admin
TRX-00153,ELE-PELL-5398,HYD-IN-91,ISSUE,-83,70.3,05-Jul-25,SO-2025-5067,clerk
TRX-00154,CAB-DCR-7490,MUM-IN-91,ISSUE,-56,83.65,21-Jun-25,SO-2025-7858,admin
TRX-00155,CAB-SCH-7692,JUA-MEX-52,TRANSFER,58,518.05,21-Mar-25,TR-2025-8449,manager
TRX-00156,ELE-HEC-9237,MOS-RUS-92,ISSUE,-98,385.05,17-Jul-25,SO-2025-9623,manager
TRX-00157,ELE-SEC-2116,HYD-IN-91,TRANSFER,-15,37.04,14-Jun-25,TR-2025-9593,admin
TRX-00158,LIG-VLC-8355,LON-UK-44,TRANSFER,31,135.45,13-May-25,TR-2025-9204,admin
TRX-00159,CAB-UCCM-8368,LON-UK-44,ISSUE,-86,447.51,25-Jul-25,SO-2025-3218,admin
TRX-00160,LIG-HLS-1447,TOR-CAN-33,ISSUE,-91,385.05,23-Feb-25,SO-2025-9504,manager
TRX-00161,ELE-UEC-8893,SYD-AUS-81,TRANSFER,-41,230.61,28-Apr-25,TR-2025-0857,admin
TRX-00162,LIG-ULS-5222,JUA-MEX-52,ISSUE,-74,174.13,24-Mar-25,SO-2025-5200,admin
TRX-00163,CAB-PCC-4723,DBN-SA-70,RECEIPT,102,83.65,24-Feb-25,PO-2025-8263,clerk
TRX-00164,ELE-SELL-1101,SYD-AUS-81,ISSUE,-97,83.65,08-Aug-25,SO-2025-5484,admin
TRX-00165,ELE-EEH-4492,MOS-RUS-92,ISSUE,-27,83.65,20-Jul-25,SO-2025-8541,manager
TRX-00166,LIG-HLS-6207,JUA-MEX-52,ISSUE,-89,165.02,15-Mar-25,SO-2025-0341,clerk
TRX-00167,ELE-HEC-6261,MUN-GER-49,ISSUE,-28,165.02,05-Apr-25,SO-2025-7291,QA
TRX-00168,ELE-PES-8672,KAN-USA-1,TRANSFER,-24,430.64,26-Mar-25,TR-2025-7024,manager
TRX-00169,ELE-DERP-1870,PAR-FRA-55,TRANSFER,70,37.04,10-Mar-25,TR-2025-5352,manager
TRX-00170,ELE-EERP-3610,MOS-RUS-92,ISSUE,-30,325.14,18-Apr-25,SO-2025-9128,QA
TRX-00171,LIG-DLRP-9482,PAR-FRA-55,RECEIPT,61,325.14,29-May-25,PO-2025-6903,manager
TRX-00172,CAB-PCH-7879,LON-UK-44,ISSUE,-49,83.65,11-Apr-25,SO-2025-0162,QA
TRX-00173,ELE-PEH-2480,LON-UK-44,ISSUE,-46,83.65,23-May-25,SO-2025-1460,QA
TRX-00174,CAB-HCC-1231,BNG-IN-91,ISSUE,-75,165.02,10-May-25,SO-2025-3094,manager
TRX-00175,LIG-SLLL-9777,MUM-IN-91,ISSUE,-36,174.13,02-Apr-25,SO-2025-2853,admin
TRX-00176,ELE-SEC-5371,DBN-SA-70,ISSUE,-98,430.64,24-May-25,SO-2025-8234,admin
TRX-00177,CAB-PCC-3927,SYD-AUS-81,ISSUE,-21,151.28,04-Jun-25,SO-2025-1828,QA
TRX-00178,ELE-VEC-8703,LON-UK-44,RECEIPT,56,230.61,30-Jun-25,PO-2025-4104,clerk
TRX-00179,CAB-HCLL-1597,MUM-IN-91,RECEIPT,31,325.14,24-Apr-25,PO-2025-9825,QA
TRX-00180,LIG-VLC-6537,LON-UK-44,RECEIPT,84,83.65,06-Jul-25,PO-2025-7434,QA
TRX-00181,LIG-ULCM-4821,BNG-IN-91,ISSUE,-57,174.13,23-Jun-25,SO-2025-0823,QA
TRX-00182,CAB-DCCM-3890,KAN-USA-1,RECEIPT,124,463.47,14-Jul-25,PO-2025-9586,admin
TRX-00183,LIG-HLS-2350,SHG-CHN-77,RECEIPT,70,145.14,20-Mar-25,PO-2025-1318,admin
TRX-00184,ELE-UELL-7467,TOK-JAP-886,RECEIPT,75,37.04,13-Jun-25,PO-2025-1671,admin
TRX-00185,ELE-EEH-8937,MOS-RUS-92,RECEIPT,55,47.78,10-May-25,PO-2025-3654,QA
TRX-00186,ELE-SES-6213,HYD-IN-91,TRANSFER,-56,518.05,17-Feb-25,TR-2025-8151,clerk
TRX-00187,CAB-PCH-1719,KAN-USA-1,ISSUE,-23,145.14,30-Apr-25,SO-2025-2019,admin
TRX-00188,ELE-HEH-5911,MUM-IN-91,ISSUE,-22,37.04,16-Apr-25,SO-2025-3147,manager
TRX-00189,LIG-SLH-3801,CAI-EGY-15,TRANSFER,47,174.13,05-Apr-25,TR-2025-9220,manager
TRX-00190,CAB-VCLL-5346,MUN-GER-49,TRANSFER,44,47.78,02-Mar-25,TR-2025-2052,manager
TRX-00191,CAB-DCH-5483,BNG-IN-91,ISSUE,-12,135.45,14-Mar-25,SO-2025-9429,QA
TRX-00192,ELE-UEC-8979,SYD-AUS-81,TRANSFER,-45,518.05,23-Apr-25,TR-2025-6420,manager
TRX-00193,CAB-VCS-9964,DBN-SA-70,ISSUE,-20,518.05,22-May-25,SO-2025-9698,QA
TRX-00194,ELE-SER-1573,MUN-GER-49,RECEIPT,29,135.45,23-Jul-25,PO-2025-6870,manager
TRX-00195,LIG-ULS-6122,SHG-CHN-77,RECEIPT,104,145.14,09-Jul-25,PO-2025-8368,clerk
TRX-00196,ELE-PER-3055,MUM-IN-91,RECEIPT,35,447.51,01-Mar-25,PO-2025-1022,QA
TRX-00197,CAB-SCS-7166,DBN-SA-70,TRANSFER,-8,135.45,24-Jul-25,TR-2025-1509,manager
TRX-00198,ELE-VEC-9675,DBN-SA-70,ISSUE,-25,463.47,30-May-25,SO-2025-1485,admin
TRX-00199,LIG-HLC-2172,DBN-SA-70,TRANSFER,40,37.04,12-Mar-25,TR-2025-5431,QA
TRX-00200,CAB-HCR-6088,HYD-IN-91,ISSUE,-15,145.14,01-May-25,SO-2025-9131,admin
TRX-00201,LIG-PLC-7682,HYD-IN-91,ISSUE,-26,135.45,27-Mar-25,SO-2025-7567,admin
TRX-00202,CAB-ECH-8135,MUM-IN-91,RECEIPT,114,70.3,22-Feb-25,PO-2025-0218,admin
TRX-00203,ELE-PER-6577,LON-UK-44,ISSUE,-36,85.75,01-May-25,SO-2025-4708,admin
TRX-00204,ELE-EEH-1982,CAI-EGY-15,TRANSFER,50,463.47,19-Feb-25,TR-2025-4616,manager
TRX-00205,LIG-ULS-5844,JUA-MEX-52,ISSUE,-33,447.51,24-Feb-25,SO-2025-4204,manager
TRX-00206,ELE-SES-2322,TOK-JAP-886,RECEIPT,141,135.45,29-Mar-25,PO-2025-3159,QA
TRX-00207,LIG-SLS-2314,JUA-MEX-52,ISSUE,-78,174.13,06-Mar-25,SO-2025-8340,QA
TRX-00208,ELE-UER-3248,MUM-IN-91,ISSUE,-84,230.61,19-May-25,SO-2025-8171,QA
TRX-00209,CAB-UCLL-8978,BNG-IN-91,RECEIPT,114,151.28,17-Apr-25,PO-2025-6076,manager
TRX-00210,LIG-DLS-2315,DBN-SA-70,RECEIPT,96,174.13,01-May-25,PO-2025-0638,QA
TRX-00211,CAB-PCS-9092,CAI-EGY-15,ISSUE,-64,85.75,03-Jul-25,SO-2025-3564,admin
TRX-00212,ELE-PEH-4958,KAN-USA-1,TRANSFER,-67,583.41,13-Apr-25,TR-2025-1000,manager
TRX-00213,LIG-PLCM-7875,MUM-IN-91,ISSUE,-35,385.05,15-May-25,SO-2025-6436,QA
TRX-00214,ELE-SELL-1101,PAR-FRA-55,TRANSFER,23,83.65,30-Jun-25,TR-2025-2282,admin
TRX-00215,CAB-SCH-1731,LON-UK-44,ISSUE,-64,70.3,06-Jun-25,SO-2025-6652,QA
TRX-00216,ELE-HEC-4584,SYD-AUS-81,RECEIPT,49,230.61,01-Apr-25,PO-2025-6556,clerk
TRX-00217,CAB-ECR-4726,MOS-RUS-92,TRANSFER,11,151.28,04-Mar-25,TR-2025-2325,QA
TRX-00218,ELE-PERP-5958,MOS-RUS-92,ISSUE,-46,463.47,08-Jul-25,SO-2025-7407,clerk
TRX-00219,LIG-DLH-2916,TOR-CAN-33,RECEIPT,88,230.61,04-Apr-25,PO-2025-5974,QA
TRX-00220,ELE-HES-6969,DBN-SA-70,RECEIPT,123,583.41,15-Jun-25,PO-2025-0451,QA
TRX-00221,CAB-DCCM-8680,BNG-IN-91,TRANSFER,-30,325.14,30-Jun-25,TR-2025-1428,manager
TRX-00222,ELE-UEH-9223,DBN-SA-70,TRANSFER,-53,47.78,16-Apr-25,TR-2025-2662,manager
TRX-00223,CAB-VCLL-1383,DBN-SA-70,ISSUE,-13,145.14,10-Apr-25,SO-2025-2692,clerk
TRX-00224,LIG-VLS-7914,MUN-GER-49,RECEIPT,103,37.04,26-Jul-25,PO-2025-8318,manager
TRX-00225,ELE-PES-2645,SHG-CHN-77,RECEIPT,136,463.47,15-May-25,PO-2025-3386,admin
TRX-00226,LIG-VLCM-1919,DBN-SA-70,RECEIPT,29,385.05,14-Mar-25,PO-2025-7351,admin
TRX-00227,ELE-SEC-1497,TOR-CAN-33,RECEIPT,86,27.58,16-Jun-25,PO-2025-8109,clerk
TRX-00228,CAB-SCH-9306,MUN-GER-49,RECEIPT,102,151.28,25-Jun-25,PO-2025-3354,admin
TRX-00229,LIG-ULRP-1925,DBN-SA-70,ISSUE,-88,463.47,03-Jul-25,SO-2025-0961,admin
